eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,crit1,crit2,crit3,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,date
197108000000.0,1971,8,8,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1,Assassination,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Malcolm Hatton, 21",Great Britain,1971-08-08
197109000000.0,1971,9,1,0,36,Cambodia,5,Southeast Asia,Phnom Penh,Phnom Penh,11.558831,104.917445,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1,Assassination,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",U.S. Govt,Ambassador,United States,1971-09-01
197110000000.0,1971,10,1,0,603,United Kingdom,8,Western Europe,England,London,51.504387,-0.140041,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Spanish Government,Ambassador,Spain,1971-10-01
197111000000.0,1971,11,1,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,3,Police,25.0,Police Security Forces/Officers,Royal Ulster Constabulary,"Stanley Corry, 28 And William Russell, 31, Protestants",Northern Ireland,1971-11-01
197112000000.0,1971,12,4,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,2.0,Restaurant/Bar/Café,Mcgurk'S Bar,15 Catholics,Northern Ireland,1971-12-04
197200000000.0,1972,5,25,0,156,Panama,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,6,Airports & Aircraft,42.0,Aircraft (not at an airport),,Law Chile Boeing 727,Chile,1972-05-25
197201000000.0,1972,1,1,0,106,Kuwait,10,Middle East & North Africa,Unknown,Unknown,0.0,0.0,5.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,1.0,Gas/Oil/Electric,,Kuwait Oil Co.,United States,1972-01-01
197202000000.0,1972,2,1,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,3,Bombing/Explosion,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,,Hq 16Th Parachute Brigade,Great Britain,1972-02-01
197203000000.0,1972,3,1,0,217,United States,1,North America,Puerto Rico,San Juan,18.386932,-66.061127,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,,Drug Store,United States,1972-03-01
197204000000.0,1972,4,4,0,38,Canada,1,North America,Ontario,Ottawa,45.42153,-75.697193,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,Cuban Embassy,Cuba,1972-04-04
197205000000.0,1972,5,1,0,603,United Kingdom,8,Western Europe,Northern Ireland,Carrickfergus,54.713641,-5.808233,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,5.0,Industrial/Textiles/Factory,Courtauld'S Factory,"David Currie, 26, Protestant",Northern Ireland,1972-05-01
197206000000.0,1972,6,2,0,222,Venezuela,3,South America,Aragua,La Victoria,10.227716,-67.333485,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),1,Business,5.0,Industrial/Textiles/Factory,Dominquez Y Cia,"Carlos Dominguqz Chavez, Owner",Venezuela,1972-06-02
197207000000.0,1972,7,1,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,14,Private Citizens & Property,73.0,Vehicles/Transportation,,"Paul Jobling, 19",Great Britain,1972-07-01
197208000000.0,1972,8,1,0,94,Iran,10,Middle East & North Africa,Tehran,tehran,35.724533,51.40519,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,Jordanian Embassy,Jordan,1972-08-01
197209000000.0,1972,9,27,0,36,Cambodia,5,Southeast Asia,Phnom Penh,Phnom Penh,11.558831,104.917445,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1,Assassination,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",U.S. Govt,"Charge, Us Embassy, Thomas Enders",United States,1972-09-27
197210000000.0,1972,10,2,0,362,West Germany (FRG),8,Western Europe,North Rhine-Westphalia,Bonn,50.732674,7.096299,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,Israeli Embassy,Israel,1972-10-02
197211000000.0,1972,11,1,0,603,United Kingdom,8,Western Europe,England,London,51.504387,-0.140041,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,,Unknown,,Israeli Firm,Israel,1972-11-01
197212000000.0,1972,12,1,1,45,Colombia,3,South America,Antioquia,Medellin,6.242026,-75.564766,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),8,Educational Institution,48.0,Teacher/Professor/Instructor,Univ. Of Antioquia,"Jairo Duque Perez And Associate, Ex Dean, Law Faculty",Colombia,1972-12-01
197300000000.0,1973,1,1,1,45,Colombia,3,South America,Unknown,unknown,0.0,0.0,5.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),1,Business,9.0,Farm/Ranch,,"Alirio Serrano Sanchez, Rancher",Colombia,1973-01-01
197301000000.0,1973,1,1,0,96,Ireland,8,Western Europe,Donegal,Birdstown,55.068445,-7.355583,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,,"Oliver Boyce, Breige Porter Civilians",Ireland,1973-01-01
197302000000.0,1973,2,1,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,14,Private Citizens & Property,69.0,Religion Identified,,"Patrick Heenan, Catholic",Northern Ireland,1973-02-01
197303000000.0,1973,3,1,1,195,Sudan,11,Sub-Saharan Africa,Khartoum,Khartoum,15.500747,32.560083,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),46.0,Embassy/Consulate,Saudi Arabian Embassy,Diplomats,Multinational,1973-03-01
197304000000.0,1973,4,2,1,11,Argentina,3,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),1,Business,4.0,Multinational Corporation,Kodak Subsidiary In Argentina,"Anthony Da Cruz, Executive",United States,1973-04-02
197305000000.0,1973,5,1,0,185,Spain,8,Western Europe,Madrid,Madrid,40.465595,-3.696263,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,3,Police,25.0,Police Security Forces/Officers,Madrid Police,"Juan Antonio Fernandez Gutierrez, Subinspector Police",Spain,1973-05-01
197306000000.0,1973,6,2,0,94,Iran,10,Middle East & North Africa,Tehran,Tehran,35.724533,51.40519,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1,Assassination,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Armish Maag,"Lt. Col. Lewis Hawkins, Finance Officer",United States,1973-06-02
197307000000.0,1973,7,1,0,185,Spain,8,Western Europe,Madrid,madrid,40.465595,-3.696263,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,French Embassy,France,1973-07-01
197308000000.0,1973,8,2,0,69,France,8,Western Europe,Essonne,Avrainville,48.56214,2.246488,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,17,Terrorists/Non-State Militia,94.0,Non-State Militia,Cuban Rev. Directorate,"Juan Felipe De La Druz Serafin, Member Of Militant Anti Castro Cuban Revol*",France,1973-08-02
197309000000.0,1973,9,1,0,11,Argentina,3,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Clarin Newspaper,"Bernardo Sofovicit, Executive",Argentina,1973-09-01
197310000000.0,1973,10,1,0,362,West Germany (FRG),8,Western Europe,North Rhine-Westphalia,Essen,51.457935,7.014828,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,3,Bombing/Explosion,1,Business,4.0,Multinational Corporation,,Itt Office,United States,1973-10-01
197311000000.0,1973,11,1,0,45,Colombia,3,South America,Antioquia,Segovia,7.252404,-74.74053,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),1,Business,10.0,Mining,Frontino Gold Mines,"Leo Dotson, *, Engineers",United States,1973-11-01
197312000000.0,1973,12,1,0,69,France,8,Western Europe,Doubs,Besancon,47.237829,6.024054,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,7,Facility/Infrastructure Attack,21,Utilities,108.0,Oil,,Oil Storage Depot,France,1973-12-01
197400000000.0,1974,4,18,0,98,Italy,8,Western Europe,Liguria,Genoa,44.407062,8.933989,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),2,Government (General),14.0,Judge/Attorney/Court,City Of Genoa,"Mario Sossi, Prosecutor",Italy,1974-04-18
197401000000.0,1974,1,1,0,26,Bolivia,3,South America,Cochabamba,Cochabamba,-17.382789,-66.166439,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Army,"Juan Perez Tapia, General",Bolivia,1974-01-01
197402000000.0,1974,2,1,0,61,El Salvador,2,Central America & Caribbean,Santa Ana,Chalchuapa,13.986667,-89.681111,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,3,Police,22.0,"Police Building (headquarters, station, school)",,Police Station,El Salvador,1974-02-01
197403000000.0,1974,3,1,0,217,United States,1,North America,Colorado,Boulder,40.007581,-105.265942,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,3,Bombing/Explosion,8,Educational Institution,50.0,Other Personnel,Colorado Police,University Of Colorado Police Department,United States,1974-03-01
197404000000.0,1974,4,1,0,94,Iran,10,Middle East & North Africa,Tehran,Tehran,35.724533,51.40519,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,3,Bombing/Explosion,4,Military,35.0,Military Transportation/Vehicle (excluding convoys),,Vechile Us Military Advising Group,United States,1974-04-01
197405000000.0,1974,5,1,0,362,West Germany (FRG),8,Western Europe,Berlin,West Berlin,52.50153,13.401851,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,2,Government (General),21.0,Government Building/Facility/Office,,"Vehicle, Fr6 Alderman",Germany,1974-05-01
197406000000.0,1974,6,1,0,199,Switzerland,8,Western Europe,Bern,Bern,46.947922,7.444608,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,Spainish Embassy,Spain,1974-06-01
197407000000.0,1974,7,1,0,142,Netherlands,8,Western Europe,Unknown,Unknown,0.0,0.0,5.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,2,Government (General),21.0,Government Building/Facility/Office,,Employment Office,Netherlands,1974-07-01
197408000000.0,1974,8,3,0,69,France,8,Western Europe,Paris,Paris,48.856644,2.34233,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,14,Private Citizens & Property,82.0,Labor Union Related,,United Jewish Social Fund,France,1974-08-03
197409000000.0,1974,9,1,0,110,Lebanon,10,Middle East & North Africa,Beirut,Beirut,33.888523,35.503513,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,6,Airports & Aircraft,43.0,Airline Officer/Personnel,,Iran Airways Office,Iran,1974-09-01
197410000000.0,1974,10,1,0,98,Italy,8,Western Europe,Lombardy,Milan,45.469212,9.174508,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,3,Police,26.0,Prison/Jail,,San Vittore Prison,Italy,1974-10-01
197411000000.0,1974,11,2,0,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,14,Private Citizens & Property,69.0,Religion Identified,,"Lorenzo Sinclair, 44, Protestant",Northern Ireland,1974-11-02
197412000000.0,1974,12,1,0,185,Spain,8,Western Europe,Lugo,Lugo,43.012087,-7.555851,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,1,Business,3.0,Bank/Commerce,,Banco Pastor (Bank),Spain,1974-12-01
197500000000.0,1975,1,1,0,153,Pakistan,6,South Asia,Punjab,Rawalpindi,33.594013,73.069077,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,6,Airports & Aircraft,42.0,Aircraft (not at an airport),,Pakistan Airlines Boeing 707,Pakistan,1975-01-01
197501000000.0,1975,1,1,0,185,Spain,8,Western Europe,Madrid,Madrid,40.465595,-3.696263,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,14,Private Citizens & Property,73.0,Vehicles/Transportation,,Truck,Spain,1975-01-01
197502000000.0,1975,2,1,0,11,Argentina,3,South America,Cordoba,Cordoba,-31.399301,-64.182129,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Us,"John P Egan, Honorary Consul",United States,1975-02-01
197503000000.0,1975,3,1,0,53,Cyprus,8,Western Europe,Limassol,Limassol,34.707332,33.023397,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Govt Cyprus,"Rogino Michaelides, Govt Official",Cyprus,1975-03-01
197504000000.0,1975,4,1,0,185,Spain,8,Western Europe,Madrid,Madrid,40.465595,-3.696263,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,7,Facility/Infrastructure Attack,2,Government (General),21.0,Government Building/Facility/Office,,Government Office,Spain,1975-04-01
197505000000.0,1975,5,1,0,222,Venezuela,3,South America,Caracas,Caracas,10.482834,-66.962128,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,Venezulan Government,"Gonzalo Barrios, President Of Congress",Venezuela,1975-05-01
197506000000.0,1975,6,1,0,185,Spain,8,Western Europe,Barcelona,Barcelona,41.400635,2.150913,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,2,Government (General),21.0,Government Building/Facility/Office,,Labor Tribunal,Spain,1975-06-01
197507000000.0,1975,7,1,0,11,Argentina,3,South America,Tucuman,San Miguel de Tucuman,-26.808285,-65.21759,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,3,Bombing/Explosion,4,Military,,Unknown,,Hercules Troop Carrier Aircraft,Argentina,1975-07-01
197508000000.0,1975,8,1,0,83,Guatemala,2,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1,Assassination,1,Business,5.0,Industrial/Textiles/Factory,Santoni Textile Co.,"Jorge A. Zimeri-Safie, Businessman",Guatemala,1975-08-01
197509000000.0,1975,9,1,0,603,United Kingdom,8,Western Europe,Northern Ireland,Moy,54.446614,-6.690752,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,14,Private Citizens & Property,69.0,Religion Identified,Civilian Political Activist,"Denis Mullen, 36, Catholic",Northern Ireland,1975-09-01
197510000000.0,1975,10,1,0,603,United Kingdom,8,Western Europe,England,London,51.504387,-0.140041,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,2.0,Restaurant/Bar/Café,,Restaurant (Scotts Restaurant) Mayfair,Great Britain,1975-10-01
197511000000.0,1975,11,1,0,11,Argentina,3,South America,Santa Fe,Rosario,-32.951052,-60.666365,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,5,Hostage Taking (Barricade Incident),10,Journalists & Media,54.0,Radio Journalist/Staff/Facility,,4 Radio Stations,Argentina,1975-11-01
197512000000.0,1975,12,2,1,142,Netherlands,8,Western Europe,Drenthe,Beilin,52.85949,6.517689,1.0,1.0,75 Miles North Of Amsterdam,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,20,Unknown,,Unknown,Train,Country Train,Netherlands,1975-12-02
197600000000.0,1976,1,1,0,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,9,Unknown,4,Military,35.0,Military Transportation/Vehicle (excluding convoys),,Turkish Army Vehicle,Turkey,1976-01-01
197601000000.0,1976,1,1,0,162,Portugal,8,Western Europe,Lisbon,Lisbon,38.725299,-9.150036,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,2,Government (General),18.0,"Government Personnel (excluding police, military)",,Residence Of Lopes Cardoso- Ex Minister Of Agriculture,Portugal,1976-01-01
197602000000.0,1976,2,1,0,96,Ireland,8,Western Europe,Dublin,Dublin,53.361675,-6.245485,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,7,Facility/Infrastructure Attack,1,Business,7.0,Retail/Grocery/Bakery,,Commercial Stores,Ireland,1976-02-01
197603000000.0,1976,3,1,1,185,Spain,8,Western Europe,Madrid,Madrid,40.465595,-3.696263,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,"Weekly Newspaper ""Goblon""","Jose Antonio Martinez Soler, Director",Spain,1976-03-01
197604000000.0,1976,4,1,1,11,Argentina,3,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),3,Police,25.0,Police Security Forces/Officers,Police,"Roberto Echegoyen, Vice Commander",Argentina,1976-04-01
197605000000.0,1976,5,1,0,98,Italy,8,Western Europe,Lazio,Rome,41.890961,12.490069,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1,Assassination,2,Government (General),14.0,Judge/Attorney/Court,Rome,"Unk, Public Prosecutor",Italy,1976-05-01
197606000000.0,1976,6,1,0,11,Argentina,3,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,2,Government (General),17.0,Head of State,Bolivian Govt,"Juan Jose Torres, Former President Of Bolivia",Bolivia,1976-06-01
197607000000.0,1976,7,1,0,217,United States,1,North America,California,San Francisco,37.755363,-122.443352,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1,Assassination,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",South African Government,"Consul, San Francisco",South Africa,1976-07-01
197608000000.0,1976,8,1,0,98,Italy,8,Western Europe,Emilia-Romagna,Rimini,44.060917,12.566301,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,14,Private Citizens & Property,78.0,"Procession/Gathering (funeral, wedding, birthday, religious)",,Festival,Italy,1976-08-01
197609000000.0,1976,9,1,0,104,Kenya,11,Sub-Saharan Africa,Nairobi,Nairobi,-1.28518,36.821107,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,3,Bombing/Explosion,6,Airports & Aircraft,42.0,Aircraft (not at an airport),,El Al Aircraft,Israel,1976-09-01
197610000000.0,1976,10,1,0,185,Spain,8,Western Europe,Madrid,Madrid,40.465595,-3.696263,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Madrid,"Unk, Police Officers",Spain,1976-10-01
